"Link","Headline","Category","Description","Author","Date"
"https://www.huffpost.com/entry/twitch-streamers-threaten-strike-gambling_n_632a72bce4b0cd3ec2628b20","Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000","TECH","One man's claims that he scammed people on the platform caused several popular streamers to consider a Twitch boycott.","Ben Blanchet","2022-09-21"
"https://www.huffpost.com/entry/virginia-thomas-agrees-to-interview-with-jan-6-panel_n_632ba0f2e4b09d8701bbe16d","Virginia Thomas Agrees To Interview With Jan. 6 Panel","U.S. NEWS","Conservative activist Virginia Thomas, the wife of Supreme Court Justice Clarence Thomas, has agreed to participate in a voluntary interview with the House panel investigating the Jan. 6 insurrection.","Eric Tucker and Mary Clare Jalonick, AP","2022-09-21"
"https://www.huffpost.com/entry/valery-polyakov-dies_n_6329d497e4b0913a3dd5336c","Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80","WORLD NEWS","Polyakov's record-breaking trip to outer space saw him orbit Earth 7,075 times and travel nearly 187 million miles.","Marco Margaritoff","2022-09-20"
"https://www.huffpost.com/entry/hulu-reboot-should-you-watch-it_n_6324a099e4b0eac9f4e18b46","'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots","CULTURE & ARTS","Starring Keegan-Michael Key, Judy Greer and Johnny Knoxville, the Hulu show follows the revival of a fictional early 2000s sitcom.","Marina Fang and Candice Frederick","2022-09-20"
"https://www.huffpost.com/entry/dodgers-baseball-obit-wills_n_6329feb3e4b07198f0134500","Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89","SPORTS","Maury Wills, who helped the Los Angeles Dodgers win three World Series titles with his base-stealing prowess, has died.","Beth Harris, AP","2022-09-20"
"https://www.huffpost.com/entry/russian-controlled-ukrainian-regions-referendum_n_6329d53ae4b07198f012f023","4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia","WORLD NEWS","The concerted and quickening Kremlin-backed efforts to swallow up four regions could set the stage for Moscow to escalate the war.","Jon Gambrell, AP","2022-09-20"
"https://www.huffpost.com/entry/hurricane-fiona-barrels-toward-turks-and-caicos-islands_n_63298597e4b0ed991abcacf9","Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane","WORLD NEWS","The Turks and Caicos Islands government imposed a curfew as the intensifying storm kept dropping copious rain over the Dominican Republic and Puerto Rico.","Dánica Coto, AP","2022-09-20"
"https://www.huffpost.com/entry/golden-globes-return-nbc_n_6329f151e4b0ed991abda7f3","Golden Globes Returning To NBC In January After Year Off-Air","ENTERTAINMENT","For the past 18 months, Hollywood has effectively boycotted the Globes after reports that the HFPA’s 87 members of non-American journalists included no Black members.","","2022-09-20"
"https://www.huffpost.com/entry/biden-us-forces-defend-taiwan-against-china_n_6327ec68e4b0ed021dfe3695","Biden Says U.S. Forces Would Defend Taiwan If China Invaded","POLITICS","President issues vow as tensions with China rise.","","2022-09-19"
"https://www.huffpost.com/entry/hurricane-fiona_n_63281718e4b0ed021dfe4ff0","Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico","WORLD NEWS","The storm knocked out the power grid and unleashed floods and landslides in Puerto Rico, where the governor said the damage was “catastrophic.”","Danica Coto, AP","2022-09-19"
"https://www.huffpost.com/entry/national-championship-air-races-pilot-killed-crash_n_632860fae4b0ed021dfef140","One Dead After Plane Crashes At Reno Air Race","U.S. NEWS","The single-engine plane was participating in the National Championship Air Races on Sunday when it crashed into a field, killing the pilot, officials said.","Nina Golgowski","2022-09-19"
"https://www.huffpost.com/entry/ukraine-festival_n_6327b4a0e4b082746beb52c7","‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year","POLITICS","An annual celebration took on a different feel as Russia's invasion dragged into Day 206.","Jonathan Nicholson","2022-09-19"
"https://www.huffpost.com/entry/mark-frerichs-release-us-taliban-prisoner-swap_n_63284bb2e4b000d9885d510b","Family Of American Held In Afghanistan Says He Was Freed By Taliban In Prisoner Swap","U.S. NEWS","Mark Frerichs, a Navy veteran and civilian contractor, was kidnapped in Afghanistan in January 2020.","Eric Tucker and Rahim Faiez, AP","2022-09-19"
"https://www.huffpost.com/entry/2022-wnba-finals_n_6327f56fe4b0eac9f4e3144d","Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP","SPORTS","Las Vegas never had a professional sports champion — until Sunday.","Pat Eaton-Robb, AP","2022-09-19"
"https://www.huffpost.com/entry/queen-elizabeth-ii-world-leaders-funeral_n_63271396e4b046aa02404259","World Leaders Pay Respects To Queen Elizabeth II","WORLD NEWS","President Joe Biden and first lady Jill Biden were among thousands of mourners — from locals and tourists to royals and world leaders — to pay their respects.","Mike Corder, Jill Lawless and Danica Kirka, AP","2022-09-18"
"https://www.huffpost.com/entry/james-cameron-fought-studio-avatar_n_63268723e4b046aa02400678","James Cameron Says He 'Clashed' With Studio Before 'Avatar' Release","ENTERTAINMENT","The ""Avatar"" director said aspects of his 2009 movie are ""still competitive with everything that’s out there these days.""","Ben Blanchet","2022-09-18"
"https://www.huffpost.com/entry/french-spiderman-birthday-skyscraper-climb_n_6326a369e4b082746beadd58","'French Spider-Man' Celebrates 60th Birthday With A Massive Skyscraper Climb","WEIRD NEWS","Alain Robert, known as the ""French Spider-Man,"" has climbed the Burj Khalifa and the Empire State Building.","Ben Blanchet","2022-09-18"
"https://www.huffpost.com/entry/europe-britain-royals-biden_n_63276eabe4b046aa02406a13","Biden Says Queen's Death Left 'Giant Hole' For Royal Family","POLITICS","U.S. President Joe Biden, in London for the funeral of Queen Elizabeth II, says his heart went out to the royal family, adding the queen’s death left a “giant hole.”.","Darlene Superville, AP","2022-09-18"
"https://www.huffpost.com/entry/2020-census-falsified-inspector-general-finds_n_63277879e4b046aa02406f26","Watchdog Report Finds Some Census Takers Who Fudged 2020 Data Didn’t Get Fired","U.S. NEWS","Despite entering false information, their work wasn't redone fully and in some cases the census takers received bonuses, the Office of Inspector General reported.","","2022-09-18"
"https://www.huffpost.com/entry/oil-gas-coal-reserves-database_n_6327a81ae4b0eac9f4e2fd23","First Public Global Database Of Fossil Fuels Launches","ENVIRONMENT","On Monday, the world’s first public database of fossil fuel production, reserves and emissions launches.","Drew Costley, AP","2022-09-18"
"https://www.huffpost.com/entry/man-arrested-exposure-assault-queens-mourners-london_n_63254f41e4b0ed021dfd40a6","Man Charged With Exposing Himself To Mourners Waiting To View Queen Elizabeth","WORLD NEWS","The 19-year-old reportedly fled into the Thames in a failed bid to escape police.","Mary Papenfuss","2022-09-17"
"https://www.huffpost.com/entry/bc-us-alaska-coastal-storm_n_6325f39fe4b0eac9f4e25cbc","Alaska Prepares For 'Historic-Level' Storm Barreling Towards Coast","ENVIRONMENT","“In 10 years, people will be referring to the September 2022 storm as a benchmark storm.”","BECKY BOHRER, MARK THIESSEN and JOHN ANTCZAK, AP","2022-09-17"
"https://www.huffpost.com/entry/tropical-storm-fiona-puerto-rico_n_6325d372e4b0ed021dfd719c","Puerto Rico Braces For Landslides And Severe Flooding As Tropical Storm Fiona Approaches","ENVIRONMENT","Puerto Rico was under a hurricane watch Saturday as the storm barreled towards the U.S. territory.","DÁNICA COTO, AP","2022-09-17"
"https://www.huffpost.com/entry/bc-as-pakistan-floods_n_63260f56e4b027aa4066b0f6","WHO Raises Alarm On Disease In Flood-hit Areas Of Pakistan","WORLD NEWS","The World Health Organization is raising the alarm about a “second disaster” in the wake of the deadly floods in Pakistan this summer, as doctors and medical workers on the ground race to battle outbreaks of waterborne and other diseases.","ZARAR KHAN, AP","2022-09-17"
"https://www.huffpost.com/entry/jackson-water-crisis-privatization_n_6324d6c2e4b0ed021dfd034f","Privatization Isn’t The Answer To Jackson’s Water Crisis","ENVIRONMENT","Studies have repeatedly shown that ending public administration of water supplies doesn’t work — but that’s now on the table in Mississippi.","Nathalie Baptiste","2022-09-17"
"https://www.huffpost.com/entry/african-land-snails-trail-of-slime-germany_n_63220b38e4b082746be5de74","German Customs Officials Follow Trail Of Slime And Find Bags Of Giant Snails","WEIRD NEWS","“Never in the history of the Duesseldorf customs office has a trail of slime led us to smuggled goods,” spokesman Michael Walk told the media.","","2022-09-16"
"https://www.huffpost.com/entry/blade-runner-2099-series-announced_n_63247adfe4b027aa40656cc0","Amazon Greenlights 'Blade Runner 2099' Limited Series Produced By Ridley Scott","ENTERTAINMENT","The director of the original 1982 film joins a writer of the 2017 sequel for the newest installment in the sci-fi franchise.","Marco Margaritoff","2022-09-16"
"https://www.huffpost.com/entry/afghan-adjustment-act-congress_n_6324ad6ee4b027aa4065ebef","Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate","POLITICS","Republican outrage over the shoddy U.S. withdrawal from Afghanistan hasn’t spurred support for resettling refugees.","Hamed Ahmadi and Arthur Delaney","2022-09-16"
"https://www.huffpost.com/entry/birmingham-church-bombing_n_63245122e4b027aa4064f978","Alabama Sidesteps Compensation For Survivor Of '63 KKK Blast","U.S. NEWS","Sarah Collins Rudolph lost an eye and has pieces of glass inside her body from a Ku Klux Klan bombing that killed her sister and three other Black girls inside an Alabama church 59 years ago.","Jay Reeves, AP","2022-09-16"
"https://www.huffpost.com/entry/bc-us-water-woes-mississippi-racism_n_6324b8c1e4b046aa023f398e","Racism Seen As Root Of Water Crisis In Mississippi Capital","U.S. NEWS","A boil-water advisory has been lifted for Mississippi's capital, and the state will stop handing out free bottled water on Saturday.","DREW COSTLEY, AP","2022-09-16"
"https://www.huffpost.com/entry/the-phantom-of-the-opera-to-close-on-broadway-next-year_n_6324ef40e4b082746bea3ce3","'The Phantom Of The Opera' To Close On Broadway Next Year","ENTERTAINMENT","“The Phantom of the Opera” — Broadway’s longest-running show — is scheduled to close in February 2023, a victim of post-pandemic softening in theater attendance in New York.","Mark Kennedy, AP","2022-09-16"
"https://www.huffpost.com/entry/capitol-riot-investigation-mark-meadows_n_63235733e4b000d988594a5d","Mark Meadows Complies With Justice Dept. Subpoena: Report","POLITICS","The former White House chief of staff has turned over records as part of a federal investigation into the Jan. 6, 2021 assault on the Capitol.","ERIC TUCKER, AP","2022-09-15"
"https://www.huffpost.com/entry/alex-aster-lightlark-culture-shifters_n_630d2145e4b065bfc4b12692","Meet Alex Aster, The TikToker Changing The Publishing Industry For The Better","CULTURE & ARTS","The Colombian-American author's new book ""Lightlark"" was rejected numerous times — until she went directly to her readers for support.","Marilyn La Jeunesse","2022-09-15"
"https://www.huffpost.com/entry/chick-fil-a-worker-florida-carjacking_n_63232e7ee4b0ed021dfa4d15","Chick-Fil-A Worker Saves Woman With Baby From Being Carjacked","U.S. NEWS","Mykel Gordon rushed to the woman's aid and held down her assailant until police arrived. Remarkably, this wasn't the first time Gordon may have saved a life.","Marco Margaritoff","2022-09-15"
"https://www.huffpost.com/entry/viola-davis-woman-king-heart-attack_n_6322f795e4b000d988585229","Viola Davis Feared A Heart Attack During 'The Woman King' Training","ENTERTAINMENT","The Oscar winner said she worked out for five hours a day for her role in the new action movie.","Marco Margaritoff","2022-09-15"
"https://www.huffpost.com/entry/kim-kardashian-biochemist-james-corden_n_63232a26e4b0ed021dfa43b2","Kim Kardashian's Next Boyfriend Could Be A Biochemist","ENTERTAINMENT","The reality star told James Corden she's branching out because ""clearly it's not working, whatever I’m doing.""","Ron Dicker","2022-09-15"
"https://www.huffpost.com/entry/podcasters-offer-100k-reward-for-info-on-2pacs-killers_n_63235716e4b046aa023d0e5d","Podcasters Offer $100K Reward For Information On 2Pac’s Killers","ENTERTAINMENT","The Las Vegas podcasters are hoping to find out who shot the rap icon 26 years ago.","Jazmin Tolliver","2022-09-15"
"https://www.huffpost.com/entry/cardi-b-bronx-school-donation_n_6321cab4e4b046aa023a875c","Cardi B Donates $100,000 To Her Old Middle School In The Bronx","ENTERTAINMENT","The Grammy-winning rapper surprised star-struck children at the Alexander Macomb School in Morris Heights to make the announcement.","Marco Margaritoff","2022-09-14"
"https://www.huffpost.com/entry/bill-richardson-russia_n_6321a027e4b0eac9f4dcaef1","Bill Richardson Visits Moscow As Brittney Griner, Paul Whelan Remain Jailed","WORLD NEWS","Richardson, the former U.S. ambassador to the United Nations and a frequent emissary in hostage negotiations, held meetings with Russian leaders.","Eric Tucker, AP","2022-09-14"
"https://www.huffpost.com/entry/2022-emmys-ratings-record-low_n_63215868e4b000d988560a39","Emmy Awards Viewership Dips To A Record-Low As Its Audience Continues To Drop","ENTERTAINMENT","The television awards ceremony lost roughly 1.5 million viewers compared to its 2021 program.","David Bauder, AP","2022-09-14"
"https://www.huffpost.com/entry/possible-nationwide-rail-strike-amtrak_n_6321547be4b0ed021df76e32","Possible Nationwide Rail Strike Is Already Impacting Travelers, Businesses","U.S. NEWS","White House press secretary Karine Jean-Pierre said a rail shutdown is ""not acceptable"" and would harm families as well as businesses.","Josh Funk, AP","2022-09-14"
"https://www.huffpost.com/entry/seth-magaziner-wins-rhode-island-democratic-primary-us-house_n_632118d0e4b082746be47a33","Democrats Nominate Seth Magaziner In Key Rhode Island House Race","POLITICS","The state's general treasurer is slated to face former Cranston Mayor Allan Fung (R) in the general election.","Daniel Marans","2022-09-14"
"https://www.huffpost.com/entry/bc-us-tiktok-misinformation_n_6321c9b0e4b027aa40614814","TikTok Search Results Riddled With Misinformation: Report","TECH","A U.S. firm that monitors false online claims reports that searches for information about prominent news topics on TikTok are likely to turn up results riddled with misinformation.","DAVID KLEPPER, AP","2022-09-14"
"https://www.huffpost.com/entry/us-inflation-number-august-2022_n_63207b45e4b0eac9f4db49b6","U.S. Inflation Falls For 2nd Straight Month On Lower Gas Costs","U.S. NEWS","On a monthly basis, prices rose 0.1%, after a flat reading in July.","Christopher Rugaber, AP","2022-09-13"
"https://www.huffpost.com/entry/jean-luc-godard-dies_n_5894d457e4b0c1284f25dc10","Jean-Luc Godard, Pioneering French Filmmaker, Dies","ENTERTAINMENT","The director was best known for the groundbreaking movie ""Breathless.""","Matthew Jacobs","2022-09-13"
"https://www.huffpost.com/entry/nurses-strike-minnesota_n_6320cb93e4b082746be43386","Thousands Of Minnesota Nurses Launch 3-day Strike Over Pay","U.S. NEWS","They're pressing for salary increases they say will help improve patient care by resolving understaffing stresses that have worsened in the pandemic.","TRISHA AHMED and GRETCHEN EHLKE, AP","2022-09-13"
"https://www.huffpost.com/entry/biden-cancer-moonshot_n_631fc93be4b027aa405e7ac5","Joe Biden Urges National Unity In Speech On Renewed ‘Cancer Moonshot’","POLITICS","""Cancer does not discriminate red and blue,"" the president said Monday. ""Beating cancer is something we can do together.""","Nick Visser","2022-09-13"
"https://www.huffpost.com/entry/tim-scott-senate-republicans-november-election_n_631ef3a4e4b027aa405d4f5e","Sen. Tim Scott Downplays Electability Concerns Over Struggling Senate GOP Candidates","POLITICS","""Who we have on the field is who we’re gonna play,” Scott told ""Fox News Sunday.""","Marita Vlachou","2022-09-12"
"https://www.huffpost.com/entry/boston-marathon-nonbinary-runners_n_631fade4e4b046aa0237a055","Boston Marathon To Make Race More Inclusive For Nonbinary Runners","SPORTS","The race's organizers say nonbinary athletes won't have to register with the men's or women's divisions and provided qualifying times to guide their training.","Sanjana Karanth","2022-09-12"
"https://www.huffpost.com/entry/anthony-varvaro-dead_n_631f6827e4b027aa405e1899","Anthony Varvaro, MLB Pitcher Turned Transit Cop, Dies In Crash On Way To 9/11 Ceremony","SPORTS","Varvaro pitched mostly with the Atlanta Braves and started his law enforcement career in 2016.","","2022-09-12"
"https://www.huffpost.com/entry/democratic-primary-rhode-island-retiring_n_631d6772e4b0eac9f4d81d5a","Electability Is On The Ballot In Key Rhode Island House Primary","POLITICS","Democrats in the state’s more moderate House district are deciding who will take on a popular Republican former mayor.","Daniel Marans","2022-09-12"
"https://www.huffpost.com/entry/biden-moonshot-cancer-speech_n_631f337ee4b082746be1d2bf","In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer","POLITICS","Biden plans to draw attention to a new federally backed study that seeks to validate using blood tests to screen against multiple cancers.","Zeke Miller and Carla K. Johnson, AP","2022-09-12"
"https://www.huffpost.com/entry/ani-liu-art-science_n_631254cbe4b0aefceecba636","How Ani Liu Is Brilliantly Disguising Her Art As Science","CULTURE & ARTS","The research-based artist has found dynamic ways to confront conversations about female empowerment, motherhood and labor in her artwork.","Xintian Wang","2022-09-12"
"https://www.huffpost.com/entry/sidney-review-tiff-sidney-poitier_n_631b75f9e4b082746bdf840c","'Sidney' Tackles The Not-So-Comfortable Conversations About A Black Cinema Icon","CULTURE & ARTS","It’s not about sensationalizing or even tarnishing the reputation of Sidney Poitier. Rather, the new documentary honors his humanity — every facet of it.","Candice Frederick","2022-09-11"
"https://www.huffpost.com/entry/carlos-alcaraz-us-open-grand-slam-win_n_631e7452e4b027aa405cf51b","Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking","SPORTS","Carlos Alcaraz defeated Casper Ruud in the U.S. Open final to earn his first Grand Slam at age 19 and become the youngest man to move up to No. 1 in the rankings.","HOWARD FENDRICH, AP","2022-09-11"
"https://www.huffpost.com/entry/western-wildfires-northern-california_n_631e6562e4b046aa02362f83","Weather Helping, But Threat From Western Fires Persists","U.S. NEWS","Firefighters made progress against a huge Northern California wildfire that was still growing and threatening thousands of mountain homes.","","2022-09-11"
"https://www.huffpost.com/entry/sept-11-anniversary-biden_n_631e6071e4b027aa405cf306","Biden Honors 9/11 Victims, Vows Commitment To Thwart Terror","POLITICS","President Joe Biden has marked the 21st anniversary of the Sept. 11 attacks, taking part in a somber wreath-laying ceremony held at the Pentagon under a steady rain.","COLLEEN LONG and AAMER MADHANI, AP","2022-09-11"
"https://www.huffpost.com/entry/21-anniversary-911-terror-attacks_n_631df241e4b046aa0236037f","9/11 Attacks Still Reverberate As U.S. Marks 21st Anniversary","U.S. NEWS","September 11th remains a point for reflection on the 2001 attacks that reconfigured national security policy and spurred a U.S. “war on terror” worldwide.","","2022-09-11"
"https://www.huffpost.com/entry/russia-ukraine-war-nuclear-plant-reactor-stopped_n_631dc78de4b082746be0b33c","Last Reactor At Ukraine's Zaporizhzhia Nuclear Plant Stopped","WORLD NEWS","The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.","Karl Ritter, AP","2022-09-11"
"https://www.huffpost.com/entry/payment-processor-visa-to-start-categorizing-sales-at-gun-stores_n_631d11e2e4b0eac9f4d80c91","Payment Processor Visa To Start Categorizing Sales At Gun Stores","U.S. NEWS","Visa’s adoption is significant as the largest payment network, and will likely add pressure for Mastercard and American Express to adopt the code as well.","Ken Sweet, AP","2022-09-10"
"https://www.huffpost.com/entry/doj-trump-team-propose-candidates-for-special-master-in-mar-a-lago-probe_n_631bed8be4b0ed021df2bd38","US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe","POLITICS","The Justice Department proposed two retired judges for the role. Trump’s team proposed a retired judge and a lawyer.","Eric Tucker and Nomaan Merchant, AP","2022-09-10"
"https://www.huffpost.com/entry/james-cameron-avatar-sequel-footage_n_631d0697e4b046aa02358cbf","James Cameron Presents New Scenes From 'Avatar: The Way Of Water' At D23 Expo","ENTERTAINMENT","The director told the audience he was ""super excited to be finally finishing up movie two"" — as he has three additional installments in the works.","Marco Margaritoff","2022-09-10"
"https://www.huffpost.com/entry/bc-eu-russia-ukraine-war_n_631caa67e4b0ed021df310a8","Russia Says It's Pulling Back Forces From Ukraine's Kharkiv Region","WORLD NEWS","Russia’s Defense Ministry announced that troops will be pulled back in two area where a Ukrainian counter offensive has made significant advances.","KARL RITTER and JOANNA KOZLOWSKA, AP","2022-09-10"
"https://www.huffpost.com/entry/bc-us-california-wildfires_n_631c9b62e4b000d988519ee3","Severe Winds Batter Southern California As Heat Wave Breaks","ENVIRONMENT","After a 10-day heat wave that nearly overwhelmed the electrical grid, Southern California got cooler weather but also a ferocious tropical storm.","JULIE WATSON and JOHN ANTCZAK, AP","2022-09-10"
"https://www.huffpost.com/entry/ukraine-forces-success-counteroffensive-russia_n_631c89cce4b082746be0286c","Ukraine Claws Back Some Territory; Nuclear Plant In Peril","WORLD NEWS","Ukrainian forces are claiming new success in their counteroffensive against Russian forces in the east.","HANNA ARHIROVA and YURAS KARMANAU, AP","2022-09-10"
"https://www.huffpost.com/entry/harry-styles-queen-elizabeth-ii-concert-tribute_n_631b4d22e4b027aa405b2ad7","Watch Harry Styles Pay Tribute To Queen Elizabeth II At NYC Concert","ENTERTAINMENT","“Please join me in a round of applause for 70 years of service,” the pop star told the crowd after he paused his Madison Square Garden performance.","Curtis M. Wong","2022-09-09"
"https://www.huffpost.com/entry/r-kelly-derrel-mcdavid-trial_n_631ac084e4b0eac9f4d5ac29","Ex-Employee Testifies He Now Doubts R. Kelly Abuse Denials","ENTERTAINMENT","Derrell McDavid’s testimony could be a major blow to the R&B singer's hope of acquittal.","Michael Tarm, AP","2022-09-09"
"https://www.huffpost.com/entry/newspaper-front-pages-mark-the-queens-death_n_631b09e1e4b0eac9f4d64686","'Our Hearts Are Broken': Historic Front Pages Mark The Queen's Death","WORLD NEWS","Both British and international newspapers honor the passing of the U.K'.s longest-reigning monarch.","Kate Nicholson","2022-09-09"
"https://www.huffpost.com/entry/jojo-siwa-glsen-gamechanger-award_n_631bae79e4b082746bdfc964","JoJo Siwa To Receive Prestigious GLSEN Honor For Her LGBTQ Advocacy Work","ENTERTAINMENT","The 19-year-old singer, dancer and YouTube icon will receive the 2022 Gamechanger Award for her focus on anti-bullying efforts.","","2022-09-09"
"https://www.huffpost.com/entry/antonio-guterres-pakistan-floods_n_631b47c7e4b027aa405b2142","UN Chief Asks World For 'Massive' Help In Flood-Hit Pakistan","WORLD NEWS","Speaking from Islamabad, Antonio Guterres said countries bearing more responsibility for climate change ""should have faced this challenge.""","Munir Ahmed, AP","2022-09-09"
"https://www.huffpost.com/entry/clark-county-official-robert-telles-dna-las-vegas-journalist-murder_n_631a51dbe4b000d9884f1cf4","Politician's DNA Connected To Las Vegas Journalist’s Murder, Police Say","POLITICS","Clark County Public Administrator Robert Telles was arrested in the fatal stabbing of Jeff German, who had been investigating his office.","Sanjana Karanth","2022-09-08"
"https://www.huffpost.com/entry/michelle-obama-braids-white-house-portrait_n_631a167fe4b0eac9f4d4c000","Michelle Obama Celebrated For Wearing Braids To Her White House Portrait Unveiling","ENTERTAINMENT","The internet ignited in approval over the former first lady's hairstyle choice for the monumental day.","Jazmin Tolliver","2022-09-08"
"https://www.huffpost.com/entry/norman-reedus-walking-dead-injury_n_6319bc8ce4b046aa02317165","Norman Reedus Opens Up About 'Walking Dead' Injury: 'I Thought I Was Going To Die'","ENTERTAINMENT","The actor said he was so badly concussed while shooting the series finale that he feared for his life and was ""holding onto the walls"" while recovering.","Marco Margaritoff","2022-09-08"
"https://www.huffpost.com/entry/michigan-abortion-amendment-supreme-court-november-ballot_n_63191369e4b046aa0230bd0e","Michigan Supreme Court Revives Abortion Rights Amendment For November's Ballot","POLITICS","Opponents of the measure claimed typos made the qualifying petitions incomprehensible, but the state's highest court rejected that argument.","Jonathan Cohn","2022-09-08"
"https://www.huffpost.com/entry/portland-disabled-lawsuit-blocked-sidewalks_n_631a741fe4b046aa0232f7c6","Portland Residents With Disabilities Sue Over City's Blocked Sidewalks","POLITICS","The lawsuit says allowing homeless people’s tents to block city sidewalks makes it difficult for people using wheelchairs, walkers or canes to use them.","Claire Rush, AP","2022-09-08"
